	premises_en	hypothesis_en_1	hypothesis_en_2	gold	gold_deduc	dobon	figure_premises	content
0	All things that were in the bag are white. These balls are white.	These balls were in the bag.	These balls were not in the bag.	1	3	3	AP2	neutral
1	All things that are white were in the bag. These balls are white.	These balls were in the bag.	These balls were not in the bag.	3	1	2	AP1	neutral
2	All things that were in the bag are white. These balls are not white.	These balls were in the bag.	These balls were not in the bag.	3	2	1	AN2	neutral
3	All things that are white were in the bag. These balls are not white.	These balls were in the bag.	These balls were not in the bag.	2	3	3	AN1	neutral
4	No things that were in the bag are white. These balls are white.	These balls were in the bag.	These balls were not in the bag.	3	2	1	EP2	neutral
5	No things that are white were in the bag. These balls are white.	These balls were in the bag.	These balls were not in the bag.	3	2	1	EP1	neutral
6	No things that were in the bag are white. These balls are not white.	These balls were in the bag.	These balls were not in the bag.	1	3	3	EN2	neutral
7	No things that are white were in the bag. These balls are not white.	These balls were in the bag.	These balls were not in the bag.	1	3	3	EN1	neutral
8	All things that were in the box are red. These toys are red.	These toys were in the box.	These toys were not in the box.	1	3	3	AP2	neutral
9	All things that are red were in the box. These toys are red.	These toys were in the box.	These toys were not in the box.	3	1	2	AP1	neutral
10	All things that were in the box are red. These toys are not red.	These toys were in the box.	These toys were not in the box.	3	2	1	AN2	neutral
11	All things that are red were in the box. These toys are not red.	These toys were in the box.	These toys were not in the box.	2	3	3	AN1	neutral
12	No things that were in the box are red. These toys are red.	These toys were in the box.	These toys were not in the box.	3	2	1	EP2	neutral
13	No things that are red were in the box. These toys are red.	These toys were in the box.	These toys were not in the box.	3	2	1	EP1	neutral
14	No things that were in the box are red. These toys are not red.	These toys were in the box.	These toys were not in the box.	1	3	3	EN2	neutral
15	No things that are red were in the box. These toys are not red.	These toys were in the box.	These toys were not in the box.	1	3	3	EN1	neutral
16	All things that were in the warehouse are black. These bats are black.	These bats were in the warehouse.	These bats were not in the warehouse.	1	3	3	AP2	neutral
17	All things that are black were in the warehouse. These bats are black.	These bats were in the warehouse.	These bats were not in the warehouse.	3	1	2	AP1	neutral
18	All things that were in the warehouse are black. These bats are not black.	These bats were in the warehouse.	These bats were not in the warehouse.	3	2	1	AN2	neutral
19	All things that are black were in the warehouse. These bats are not black.	These bats were in the warehouse.	These bats were not in the warehouse.	2	3	3	AN1	neutral
20	No things that were in the warehouse are black. These bats are black.	These bats were in the warehouse.	These bats were not in the warehouse.	3	2	1	EP2	neutral
21	No things that are black were in the warehouse. These bats are black.	These bats were in the warehouse.	These bats were not in the warehouse.	3	2	1	EP1	neutral
22	No things that were in the warehouse are black. These bats are not black.	These bats were in the warehouse.	These bats were not in the warehouse.	1	3	3	EN2	neutral
23	No things that are black were in the warehouse. These bats are not black.	These bats were in the warehouse.	These bats were not in the warehouse.	1	3	3	EN1	neutral
24	All those who were in the room are female. These people are female.	These people were in the room.	These people were not in the room.	1	3	3	AP2	neutral
25	All those who are female were in the room. These people are female.	These people were in the room.	These people were not in the room.	3	1	2	AP1	neutral
26	All those who were in the room are female. These people are not female.	These people were in the room.	These people were not in the room.	3	2	1	AN2	neutral
27	All those who are female were in the room. These people are not female.	These people were in the room.	These people were not in the room.	2	3	3	AN1	neutral
28	No those who were in the room are female. These people are female.	These people were in the room.	These people were not in the room.	3	2	1	EP2	neutral
29	No those who are female were in the room. These people are female.	These people were in the room.	These people were not in the room.	3	2	1	EP1	neutral
30	No those who were in the room are female. These people are not female.	These people were in the room.	These people were not in the room.	1	3	3	EN2	neutral
31	No those who are female were in the room. These people are not female.	These people were in the room.	These people were not in the room.	1	3	3	EN1	neutral
32	All things that were sold in the supermarket are fresh. These apples are fresh.	These apples were sold in the supermarket.	These apples were not sold in the supermarket.	1	3	3	AP2	neutral
33	All things that are fresh were sold in the supermarket. These apples are fresh.	These apples were sold in the supermarket.	These apples were not sold in the supermarket.	3	1	2	AP1	neutral
34	All things that were sold in the supermarket are fresh. These apples are not fresh.	These apples were sold in the supermarket.	These apples were not sold in the supermarket.	3	2	1	AN2	neutral
35	All things that are fresh were sold in the supermarket. These apples are not fresh.	These apples were sold in the supermarket.	These apples were not sold in the supermarket.	2	3	3	AN1	neutral
36	No things that were sold in the supermarket are fresh. These apples are fresh.	These apples were sold in the supermarket.	These apples were not sold in the supermarket.	3	2	1	EP2	neutral
37	No things that are fresh were sold in the supermarket. These apples are fresh.	These apples were sold in the supermarket.	These apples were not sold in the supermarket.	3	2	1	EP1	neutral
38	No things that were sold in the supermarket are fresh. These apples are not fresh.	These apples were sold in the supermarket.	These apples were not sold in the supermarket.	1	3	3	EN2	neutral
39	No things that are fresh were sold in the supermarket. These apples are not fresh.	These apples were sold in the supermarket.	These apples were not sold in the supermarket.	1	3	3	EN1	neutral
40	All things that are dishes in the restaurant are tasty. These salads are tasty.	These salads are dishes in the restaurant.	These salads are not dishes in the restaurant.	1	3	3	AP2	neutral
41	All things that are tasty are dishes in the restaurant. These salads are tasty.	These salads are dishes in the restaurant.	These salads are not dishes in the restaurant.	3	1	2	AP1	neutral
42	All things that are dishes in the restaurant are tasty. These salads are not tasty.	These salads are dishes in the restaurant.	These salads are not dishes in the restaurant.	3	2	1	AN2	neutral
43	All things that are tasty are dishes in the restaurant. These salads are not tasty.	These salads are dishes in the restaurant.	These salads are not dishes in the restaurant.	2	3	3	AN1	neutral
44	No things that are dishes in the restaurant are tasty. These salads are tasty.	These salads are dishes in the restaurant.	These salads are not dishes in the restaurant.	3	2	1	EP2	neutral
45	No things that are tasty are dishes in the restaurant. These salads are tasty.	These salads are dishes in the restaurant.	These salads are not dishes in the restaurant.	3	2	1	EP1	neutral
46	No things that are dishes in the restaurant are tasty. These salads are not tasty.	These salads are dishes in the restaurant.	These salads are not dishes in the restaurant.	1	3	3	EN2	neutral
47	No things that are tasty are dishes in the restaurant. These salads are not tasty.	These salads are dishes in the restaurant.	These salads are not dishes in the restaurant.	1	3	3	EN1	neutral
48	All things that are the buildings in the town have historical value. These churches have historical value.	These churches are the buildings in the town.	These churches are not the buildings in the town.	1	3	3	AP2	neutral
49	All things that have historical value are the buildings in the town. These churches have historical value.	These churches are the buildings in the town.	These churches are not the buildings in the town.	3	1	2	AP1	neutral
50	All things that are the buildings in the town have historical value. These churches don't have historical value.	These churches are the buildings in the town.	These churches are not the buildings in the town.	3	2	1	AN2	neutral
51	All things that have historical value are the buildings in the town. These churches don't have historical value.	These churches are the buildings in the town.	These churches are not the buildings in the town.	2	3	3	AN1	neutral
52	No things that are the buildings in the town have historical value. These churches have historical value.	These churches are the buildings in the town.	These churches are not the buildings in the town.	3	2	1	EP2	neutral
53	No things that have historical value are the buildings in the town. These churches have historical value.	These churches are the buildings in the town.	These churches are not the buildings in the town.	3	2	1	EP1	neutral
54	No things that are the buildings in the town have historical value. These churches don't have historical value.	These churches are the buildings in the town.	These churches are not the buildings in the town.	1	3	3	EN2	neutral
55	No things that have historical value are the buildings in the town. These churches don't have historical value.	These churches are the buildings in the town.	These churches are not the buildings in the town.	1	3	3	EN1	neutral
56	All things that are vagetables grown on the firm are organically grown. These tomatoes are organically grown.	These tomatoes are vagetables grown on the firm.	These tomatoes are not vagetables grown on the firm.	1	3	3	AP2	neutral
57	All things that are organically grown are vagetables grown on the firm. These tomatoes are organically grown.	These tomatoes are vagetables grown on the firm.	These tomatoes are not vagetables grown on the firm.	3	1	2	AP1	neutral
58	All things that are vagetables grown on the firm are organically grown. These tomatoes are not organically grown.	These tomatoes are vagetables grown on the firm.	These tomatoes are not vagetables grown on the firm.	3	2	1	AN2	neutral
59	All things that are organically grown are vagetables grown on the firm. These tomatoes are not organically grown.	These tomatoes are vagetables grown on the firm.	These tomatoes are not vagetables grown on the firm.	2	3	3	AN1	neutral
60	No things that are vagetables grown on the firm are organically grown. These tomatoes are organically grown.	These tomatoes are vagetables grown on the firm.	These tomatoes are not vagetables grown on the firm.	3	2	1	EP2	neutral
61	No things that are organically grown are vagetables grown on the firm. These tomatoes are organically grown.	These tomatoes are vagetables grown on the firm.	These tomatoes are not vagetables grown on the firm.	3	2	1	EP1	neutral
62	No things that are vagetables grown on the firm are organically grown. These tomatoes are not organically grown.	These tomatoes are vagetables grown on the firm.	These tomatoes are not vagetables grown on the firm.	1	3	3	EN2	neutral
63	No things that are organically grown are vagetables grown on the firm. These tomatoes are not organically grown.	These tomatoes are vagetables grown on the firm.	These tomatoes are not vagetables grown on the firm.	1	3	3	EN1	neutral
